sample,day_count,expiry_assumption,expiry_adjustment_days,maturity_lower_days,maturity_upper_days,volume_threshold,observations,currencies,first_date,last_date,corr,rmse,mean_gap,median_gap,std_gap,abs_median_gap
advanced,365,last_trade_monday,-2,60,90,10000,328,7,2010-03-31,2025-06-30,0.7748260702,1.264518985,0.3667416136,0.2367429146,1.212017934,0.2367429146
advanced,365,last_trade_monday,-2,60,85,10000,328,7,2010-03-31,2025-06-30,0.7748260702,1.264518985,0.3667416136,0.2367429146,1.212017934,0.2367429146
advanced,365,last_trade_monday,-2,60,80,10000,328,7,2010-03-31,2025-06-30,0.7748260702,1.264518985,0.3667416136,0.2367429146,1.212017934,0.2367429146
advanced,365,last_trade_monday,-2,70,90,10000,328,7,2010-03-31,2025-06-30,0.7748260702,1.264518985,0.3667416136,0.2367429146,1.212017934,0.2367429146
advanced,365,last_trade_friday,-5,45,95,10000,375,7,2010-03-31,2025-06-30,0.7842711126,1.265779326,0.3533646118,0.2384208008,1.217078812,0.2384208008
advanced,360,last_trade_friday,-5,70,95,100,398,7,2010-03-31,2025-06-30,0.785135996,1.270816911,0.5870041004,0.3670588372,1.128539681,0.3670588372
advanced,360,last_trade_friday,-5,70,90,100,398,7,2010-03-31,2025-06-30,0.785135996,1.270816911,0.5870041004,0.3670588372,1.128539681,0.3670588372
advanced,360,third_wednesday,0,75,95,500,372,7,2010-03-31,2025-06-30,0.7928458941,1.272484655,0.5831824316,0.3544467952,1.132503068,0.3544467952
advanced,365,third_wednesday,0,75,95,500,372,7,2010-03-31,2025-06-30,0.7928458941,1.274463844,0.5851820792,0.3477988525,1.133699724,0.3477988525
advanced,365,last_trade_friday,-5,70,95,100,398,7,2010-03-31,2025-06-30,0.785135996,1.274844107,0.5889825587,0.3761539104,1.132054332,0.3761539104
advanced,365,last_trade_friday,-5,70,90,100,398,7,2010-03-31,2025-06-30,0.785135996,1.274844107,0.5889825587,0.3761539104,1.132054332,0.3761539104
advanced,360,last_trade_friday,-5,50,95,10000,328,7,2010-03-31,2025-06-30,0.7746323071,1.276457728,0.3672231897,0.2184684097,1.224361781,0.2184684097
advanced,360,last_trade_friday,-5,55,95,10000,328,7,2010-03-31,2025-06-30,0.7746323071,1.276457728,0.3672231897,0.2184684097,1.224361781,0.2184684097
advanced,360,last_trade_friday,-5,60,95,10000,328,7,2010-03-31,2025-06-30,0.7746323071,1.276457728,0.3672231897,0.2184684097,1.224361781,0.2184684097
advanced,360,last_trade_friday,-5,65,95,10000,328,7,2010-03-31,2025-06-30,0.7746323071,1.276457728,0.3672231897,0.2184684097,1.224361781,0.2184684097
