date,spot_local_per_usd,futures_local_per_usd,futures_log_basis,futures_pct_basis,ccy,yahoo_symbol,us_rate,foreign_rate,assumed_expiry_date,assumed_tau_years,rate_differential_us_minus_foreign,region_group,futures_implied_basis_next_imm,futures_implied_basis_fixed_3m,futures_implied_basis_next_imm_bps,futures_implied_basis_fixed_3m_bps,basis_maturity_assumption_spread_bps,futures_premium_next_imm_pct_ann,futures_premium_fixed_3m_pct_ann,dks_forward_premium_3m_pct_ann,premium_gap_next_imm_pct_ann,premium_gap_fixed_3m_pct_ann
2010-04-30,1.366120219,1.378169783,0.008781609377,0.8820280825,NZD,6N=F,0.0016,0.0269,2010-06-16,0.1287671233,-0.0253,Advanced economies,0.0120394176,0.01510660938,120.394176,151.0660938,-30.67191781,6.819760473,3.512643751,2.4925621,4.327198373,1.020081651
2010-04-30,7.3515,7.401924114,0.006835607744,0.6859023834,ZAR,6Z=F,0.0016,0.06586956522,2010-06-16,0.1287671233,-0.06426956522,Emerging markets,0.01511141477,0.02290299905,151.1141477,229.0299905,-77.91584276,5.308503886,2.734243098,6.3865414,-1.078037514,-3.652298302
2010-05-31,1.177717583,1.184132615,0.005432222546,0.544700382,AUD,6A=F,0.0016,0.04805,2010-06-16,0.04383561644,-0.04645,Advanced economies,0.00746838693,0.01704472255,74.6838693,170.4472255,-95.76335616,12.39225768,2.172889018,4.2351446,8.157113083,-2.062255582
2010-05-31,1.817,1.821161962,0.002287948456,0.2290567807,BRL,6L=F,0.0016,0.0937,2010-06-16,0.04383561644,-0.0921,Emerging markets,0.00632520873,0.02531294846,63.2520873,253.1294846,-189.8773973,5.219382415,0.9151793824,8.457118,-3.237735585,-7.541938618
2010-05-31,1.0497,1.051193077,0.001421373445,0.1422384075,CAD,6C=F,0.0016,0.0039,2010-06-16,0.04383561644,-0.0023,Advanced economies,0.001522195363,0.001996373445,15.22195363,19.96373445,-4.741780822,3.242508171,0.568549378,0.082444958,3.160063213,0.48610442
2010-05-31,1.1534,1.156336757,0.002542937807,0.2546173815,CHF,6S=F,0.0016,0.0008190975,2010-06-16,0.04383561644,0.0007809025,Advanced economies,0.002508706464,0.002347712182,25.08706464,23.47712182,1.609942825,5.801076872,1.017175123,-0.50163764,6.302714512,1.518812763
2010-05-31,0.8084727949,0.8114249012,0.003644809946,0.3651460343,EUR,6E=F,0.0016,0.006865238095,2010-06-16,0.04383561644,-0.005265238095,Advanced economies,0.003875614903,0.00496111947,38.75614903,49.6111947,-10.85504566,8.314722689,1.457923978,-0.073240526,8.387963215,1.531164504
2010-05-31,0.6900358819,0.6902264096,0.0002760747006,0.02761128127,GBP,6B=F,0.0016,0.0069713,2010-06-16,0.04383561644,-0.0053713,Advanced economies,0.0005115289472,0.001618899701,5.115289472,16.18899701,-11.07370753,0.6297954107,0.1104298802,0.14700523,0.4827901807,-0.03657534976
2010-05-31,90.81,90.76880934,-0.0004536945507,-0.04535916469,JPY,6J=F,0.0016,0.0039,2010-06-16,0.04383561644,-0.0023,Advanced economies,-0.0003528726329,0.0001213054493,-3.528726329,1.213054493,-4.741780822,-1.034990694,-0.1814778203,-0.36008391,-0.6749067837,0.1786060897
2010-05-31,12.8633,12.91572439,0.004067218174,0.4075500531,MXN,6M=F,0.0016,0.0504,2010-06-16,0.04383561644,-0.0488,Emerging markets,0.006206396256,0.01626721817,62.06396256,162.6721817,-100.6082192,9.278341459,1.62688727,3.8411472,5.437194259,-2.21425993
2010-05-31,1.471020888,1.476668593,0.003831958415,0.3839309755,NZD,6N=F,0.0016,0.0289,2010-06-16,0.04383561644,-0.0273,Advanced economies,0.005028670744,0.01065695842,50.28670744,106.5695842,-56.28287671,8.741655134,1.532783366,2.4880495,6.253605634,-0.955266134
